기준일,기준일,5일,15일,25일
2013.07,금회가격(A),"44,059","44,138","44,197"
2013.07,전회가격(B),-,"44,059","44,138"
2013.07,가격차이(A-B),-,79,59
2013.07,전회대비(%),-,0.2,0.1
2013.08,금회가격(A),"44,169","44,251","44,257"
2013.08,전회가격(B),"44,197","44,169","44,251"
2013.08,가격차이(A-B),-28,82,6
2013.08,전회대비(%),-0.1,0.2,0.0
2013.09,금회가격(A),"44,209","43,888","43,773"
2013.09,전회가격(B),"44,257","44,209","43,888"
2013.09,가격차이(A-B),-48,-321,-115
2013.09,전회대비(%),-0.1,-0.7,-0.3
2013.10,금회가격(A),"45,890","44,300","43,723"
2013.10,전회가격(B),"43,773","45,890","44,300"
2013.10,가격차이(A-B),"2,117","-1,590",-577
2013.10,전회대비(%),4.8,-3.5,-1.3
2013.11,금회가격(A),"43,563","43,456","43,416"
2013.11,전회가격(B),"43,723","43,563","43,456"
2013.11,가격차이(A-B),-160,-107,-40
2013.11,전회대비(%),-0.4,-0.2,-0.1
2013.12,금회가격(A),"43,363","43,356","43,310"
2013.12,전회가격(B),"43,416","43,363","43,356"
2013.12,가격차이(A-B),-53,-7,-46
2013.12,전회대비(%),-0.1,0.0,-0.1
2014.01,금회가격(A),"43,268","43,247","43,229"
2014.01,전회가격(B),"43,310","43,268","43,247"
2014.01,가격차이(A-B),-42,-21,-18
2014.01,전회대비(%),-0.1,0.0,0.0
2014.02,금회가격(A),"43,216","43,191","43,140"
2014.02,전회가격(B),"43,229","43,216","43,191"
2014.02,가격차이(A-B),-13,-25,-51
2014.02,전회대비(%),0.0,-0.1,-0.1
2014.03,금회가격(A),"43,080","43,009","42,958"
2014.03,전회가격(B),"43,140","43,080","43,009"
2014.03,가격차이(A-B),-60,-71,-51
2014.03,전회대비(%),-0.1,-0.2,-0.1
2014.04,금회가격(A),"42,871","42,742","42,685"
2014.04,전회가격(B),"42,958","42,871","42,742"
2014.04,가격차이(A-B),-87,-129,-57
2014.04,전회대비(%),-0.2,-0.3,-0.1
2014.05,금회가격(A),"42,527","42,500","42,411"
2014.05,전회가격(B),"42,685","42,527","42,500"
2014.05,가격차이(A-B),-158,-27,-89
2014.05,전회대비(%),-0.4,-0.1,-0.2
2014.06,금회가격(A),"42,362","42,279","42,204"
2014.06,전회가격(B),"42,411","42,362","42,279"
2014.06,가격차이(A-B),-49,-83,-75
2014.06,전회대비(%),-0.1,-0.2,-0.2
2014.07,금회가격(A),"42,115","42,038","41,961"
2014.07,전회가격(B),"42,204","42,115","42,038"
2014.07,가격차이(A-B),-89,-77,-77
2014.07,전회대비(%),-0.2,-0.2,-0.2
2014.08,금회가격(A),"41,821","41,787","41,760"
2014.08,전회가격(B),"41,961","41,821","41,787"
2014.08,가격차이(A-B),-140,-34,-27
2014.08,전회대비(%),-0.3,-0.1,-0.1
2014.09,금회가격(A),"41,727","41,691","41,546"
2014.09,전회가격(B),"41,760","41,727","41,691"
2014.09,가격차이(A-B),-33,-36,-145
2014.09,전회대비(%),-0.1,-0.1,-0.3
2014.10,금회가격(A),"44,461","42,417","42,022"
2014.10,전회가격(B),"41,546","44,461","42,417"
2014.10,가격차이(A-B),"2,915","-2,044",-395
2014.10,전회대비(%),7.0,-4.6,-0.9
2014.11,금회가격(A),"41,687","41,489","41,356"
2014.11,전회가격(B),"42,022","41,687","41,489"
2014.11,가격차이(A-B),-335,-198,-133
2014.11,전회대비(%),-0.8,-0.5,-0.3
2014.12,금회가격(A),"41,149","41,050","40,899"
2014.12,전회가격(B),"41,356","41,149","41,050"
2014.12,가격차이(A-B),-207,-99,-151
2014.12,전회대비(%),-0.5,-0.2,-0.4
2015.01,금회가격(A),"40,820","40,670","40,573"
2015.01,전회가격(B),"40,899","40,820","40,670"
2015.01,가격차이(A-B),-79,-150,-97
2015.01,전회대비(%),-0.2,-0.4,-0.2
2015.02,금회가격(A),"40,504","40,407","40,438"
2015.02,전회가격(B),"40,573","40,504","40,407"
2015.02,가격차이(A-B),-69,-97,31
2015.02,전회대비(%),-0.2,-0.2,0.1
2015.03,금회가격(A),"40,242","40,191","40,003"
2015.03,전회가격(B),"40,438","40,242","40,191"
2015.03,가격차이(A-B),-196,-51,-188
2015.03,전회대비(%),-0.5,-0.1,-0.5
2015.04,금회가격(A),"39,927","39,825","39,757"
2015.04,전회가격(B),"40,003","39,927","39,825"
2015.04,가격차이(A-B),-76,-102,-68
2015.04,전회대비(%),-0.2,-0.3,-0.2
2015.05,금회가격(A),"39,614","39,575","39,665"
2015.05,전회가격(B),"39,757","39,614","39,575"
2015.05,가격차이(A-B),-143,-39,90
2015.05,전회대비(%),-0.4,-0.1,0.2
2015.06,금회가격(A),"39,684","39,813","39,810"
2015.06,전회가격(B),"39,665","39,684","39,813"
2015.06,가격차이(A-B),19,129,-3
2015.06,전회대비(%),0.0,0.3,0.0
2015.07,금회가격(A),"39,827","39,896","39,944"
2015.07,전회가격(B),"39,810","39,827","39,896"
2015.07,가격차이(A-B),17,69,48
2015.07,전회대비(%),0.0,0.2,0.1
2015.08,금회가격(A),"40,006","40,019","40,059"
2015.08,전회가격(B),"39,944","40,006","40,019"
2015.08,가격차이(A-B),62,13,40
2015.08,전회대비(%),0.2,0.0,0.1
2015.09,금회가격(A),"39,993","39,912","39,799"
2015.09,전회가격(B),"40,059","39,993","39,912"
2015.09,가격차이(A-B),-66,-81,-113
2015.09,전회대비(%),-0.2,-0.2,-0.3
2015.10,금회가격(A),"40,849","39,220","38,533"
2015.10,전회가격(B),"39,799","40,849","39,220"
2015.10,가격차이(A-B),"1,050","-1,629",-687
2015.10,전회대비(%),2.6,-4.0,-1.8
2015.11,금회가격(A),"37,911","37,630","37,348"
2015.11,전회가격(B),"38,533","37,911","37,630"
2015.11,가격차이(A-B),-622,-281,-282
2015.11,전회대비(%),-1.6,-0.7,-0.7
2015.12,금회가격(A),"37,083","36,954","36,828"
2015.12,전회가격(B),"37,348","37,083","36,954"
2015.12,가격차이(A-B),-265,-129,-126
2015.12,전회대비(%),-0.7,-0.3,-0.3
2016.01,금회가격(A),"36,640","36,564","36,417"
2016.01,전회가격(B),"36,828","36,640","36,564"
2016.01,가격차이(A-B),-188,-76,-147
2016.01,전회대비(%),-0.5,-0.2,-0.4
2016.02,금회가격(A),"36,466","36,381","36,288"
2016.02,전회가격(B),"36,417","36,466","36,381"
2016.02,가격차이(A-B),49,-85,-93
2016.02,전회대비(%),0.1,-0.2,-0.3
2016.03,금회가격(A),"36,243","36,163","36,058"
2016.03,전회가격(B),"36,288","36,243","36,163"
2016.03,가격차이(A-B),-45,-80,-105
2016.03,전회대비(%),-0.1,-0.2,-0.3
2016.04,금회가격(A),"36,079","36,086","36,013"
2016.04,전회가격(B),"36,058","36,079","36,086"
2016.04,가격차이(A-B),21,7,-73
2016.04,전회대비(%),0.1,0.0,-0.2
2016.05,금회가격(A),"36,013","35,989","35,917"
2016.05,전회가격(B),"36,013","36,013","35,989"
2016.05,가격차이(A-B),0,-24,-72
2016.05,전회대비(%),0.0,-0.1,-0.2
2016.06,금회가격(A),"35,894","35,833","35,760"
2016.06,전회가격(B),"35,917","35,894","35,833"
2016.06,가격차이(A-B),-23,-61,-73
2016.06,전회대비(%),-0.1,-0.2,-0.2
2016.07,금회가격(A),"35,725","35,714","35,631"
2016.07,전회가격(B),"35,760","35,725","35,714"
2016.07,가격차이(A-B),-35,-11,-83
2016.07,전회대비(%),-0.1,0.0,-0.2
2016.08,금회가격(A),"35,474","35,421","35,072"
2016.08,전회가격(B),"35,631","35,474","35,421"
2016.08,가격차이(A-B),-157,-53,-349
2016.08,전회대비(%),-0.4,-0.1,-1.0
2016.09,금회가격(A),"34,288","33,886","33,359"
2016.09,전회가격(B),"35,072","34,288","33,886"
2016.09,가격차이(A-B),-784,-402,-527
2016.09,전회대비(%),-2.2,-1.2,-1.6
2016.10,금회가격(A),"33,519","32,952","32,407"
2016.10,전회가격(B),"33,359","33,519","32,952"
2016.10,가격차이(A-B),160,-567,-545
2016.10,전회대비(%),0.5,-1.7,-1.7
2016.11,금회가격(A),"32,337","32,232","32,124"
2016.11,전회가격(B),"32,407","32,337","32,232"
2016.11,가격차이(A-B),-70,-105,-108
2016.11,전회대비(%),-0.2,-0.3,-0.3
2016.12,금회가격(A),"32,082","32,213","32,200"
2016.12,전회가격(B),"32,124","32,082","32,213"
2016.12,가격차이(A-B),-42,131,-13
2016.12,전회대비(%),-0.1,0.4,0.0
2017.01,금회가격(A),"32,332","32,316","32,418"
2017.01,전회가격(B),"32,200","32,332","32,316"
2017.01,가격차이(A-B),132,-16,102
2017.01,전회대비(%),0.4,0.0,0.3
2017.02,금회가격(A),"32,343","32,273","32,234"
2017.02,전회가격(B),"32,418","32,343","32,273"
2017.02,가격차이(A-B),-75,-70,-39
2017.02,전회대비(%),-0.2,-0.2,-0.1
2017.03,금회가격(A),"32,236","32,089","32,073"
2017.03,전회가격(B),"32,234","32,236","32,089"
2017.03,가격차이(A-B),2,-147,-16
2017.03,전회대비(%),0.0,-0.5,0.0
2017.04,금회가격(A),"31,988","31,945","31,911"
2017.04,전회가격(B),"32,073","31,988","31,945"
2017.04,가격차이(A-B),-85,-43,-34
2017.04,전회대비(%),-0.3,-0.1,-0.1
2017.05,금회가격(A),"31,820","31,836","31,844"
2017.05,전회가격(B),"31,911","31,820","31,836"
2017.05,가격차이(A-B),-91,16,8
2017.05,전회대비(%),-0.3,0.1,0.0
2017.06,금회가격(A),"31,710","31,660","31,705"
2017.06,전회가격(B),"31,844","31,710","31,660"
2017.06,가격차이(A-B),-134,-50,45
2017.06,전회대비(%),-0.4,-0.2,0.1
2017.07,금회가격(A),"31,683","31,891","32,125"
2017.07,전회가격(B),"31,705","31,683","31,891"
2017.07,가격차이(A-B),-22,208,234
2017.07,전회대비(%),-0.1,0.7,0.7
2017.08,금회가격(A),"32,308","32,556","32,744"
2017.08,전회가격(B),"32,125","32,308","32,556"
2017.08,가격차이(A-B),183,248,188
2017.08,전회대비(%),0.6,0.8,0.6
2017.09,금회가격(A),"33,024","33,168","33,337"
2017.09,전회가격(B),"32,744","33,024","33,168"
2017.09,가격차이(A-B),280,144,169
2017.09,전회대비(%),0.9,0.4,0.5
2017.10,금회가격(A),"37,723","37,746","37,791"
2017.10,전회가격(B),"33,337","37,723","37,746"
2017.10,가격차이(A-B),"4,386",23,45
2017.10,전회대비(%),13.2,0.1,0.1
2017.11,금회가격(A),"38,056","38,281","38,449"
2017.11,전회가격(B),"37,791","38,056","38,281"
2017.11,가격차이(A-B),265,225,168
2017.11,전회대비(%),0.7,0.6,0.4
2017.12,금회가격(A),"38,742","38,911","39,031"
2017.12,전회가격(B),"38,449","38,742","38,911"
2017.12,가격차이(A-B),293,169,120
2017.12,전회대비(%),0.8,0.4,0.3
2018.01,금회가격(A),"38,695","38,865","39,312"
2018.01,전회가격(B),"38,303","38,695","38,865"
2018.01,가격차이(A-B),392,170,447
2018.01,전회대비(%),1.0,0.4,1.1
2018.02,금회가격(A),"39,971","40,395","40,949"
2018.02,전회가격(B),"39,312","39,971","40,395"
2018.02,가격차이(A-B),660,424,554
2018.02,전회대비(%),1.7,1.1,1.4
2018.03,금회가격(A),"41,713","42,146","42,357"
2018.03,전회가격(B),"40,949","41,713","42,146"
2018.03,가격차이(A-B),764,434,211
2018.03,전회대비(%),1.9,1.0,0.5
2018.04,금회가격(A),"42,883","43,009","43,047"
2018.04,전회가격(B),"42,357","42,883","43,009"
2018.04,가격차이(A-B),525,127,38
2018.04,전회대비(%),1.2,0.3,0.1
2018.05,금회가격(A),"43,096","43,171","43,336"
2018.05,전회가격(B),"43,047","43,096","43,171"
2018.05,가격차이(A-B),49,75,165
2018.05,전회대비(%),0.1,0.2,0.4
2018.06,금회가격(A),"43,544","43,596","43,750"
2018.06,전회가격(B),"43,336","43,544","43,596"
2018.06,가격차이(A-B),207,52,155
2018.06,전회대비(%),0.5,0.1,0.4
2018.07,금회가격(A),"44,016","44,155","44,319"
2018.07,전회가격(B),"43,750","44,016","44,155"
2018.07,가격차이(A-B),265,139,165
2018.07,전회대비(%),0.6,0.3,0.4
2018.08,금회가격(A),"44,362","44,469","44,523"
2018.08,전회가격(B),"44,319","44,362","44,469"
2018.08,가격차이(A-B),43,107,53
2018.08,전회대비(%),0.1,0.2,0.1
2018.09,금회가격(A),"44,693","44,767","44,748"
2018.09,전회가격(B),"44,523","44,693","44,767"
2018.09,가격차이(A-B),171,74,-19
2018.09,전회대비(%),0.4,0.2,0.0
2018.10,금회가격(A),"48,453","48,068","48,169"
2018.10,전회가격(B),"44,748","48,453","48,068"
2018.10,가격차이(A-B),"3,705",-385,101
2018.10,전회대비(%),8.3,-0.8,0.2
2018.11,금회가격(A),"48,246","48,225","48,189"
2018.11,전회가격(B),"48,169","48,246","48,225"
2018.11,가격차이(A-B),78,-21,-36
2018.11,전회대비(%),0.2,0.0,-0.1
2018.12,금회가격(A),"48,253","48,174","48,158"
2018.12,전회가격(B),"48,189","48,253","48,174"
2018.12,가격차이(A-B),63,-79,-16
2018.12,전회대비(%),0.1,-0.2,0.0
2019.01,금회가격(A),"48,169","48,074","48,035"
2019.01,전회가격(B),"48,158","48,169","48,074"
2019.01,가격차이(A-B),11,-96,-39
2019.01,전회대비(%),0.0,-0.2,-0.1
2019.02,금회가격(A),"48,077","48,060","48,016"
2019.02,전회가격(B),"48,035","48,077","48,060"
2019.02,가격차이(A-B),43,-17,-44
2019.02,전회대비(%),0.1,0.0,-0.1
2019.03,금회가격(A),"47,997","48,052","47,989"
2019.03,전회가격(B),"48,016","47,997","48,052"
2019.03,가격차이(A-B),-20,56,-63
2019.03,전회대비(%),0.0,0.1,-0.1
2019.04,금회가격(A),"47,780","47,755","47,642"
2019.04,전회가격(B),"47,989","47,780","47,755"
2019.04,가격차이(A-B),-209,-25,-113
2019.04,전회대비(%),-0.4,-0.1,-0.2
2019.05,금회가격(A),"47,541","47,398","47,355"
2019.05,전회가격(B),"47,642","47,541","47,398"
2019.05,가격차이(A-B),-101,-143,-43
2019.05,전회대비(%),-0.2,-0.3,-0.1
2019.06,금회가격(A),"47,332","47,244","47,197"
2019.06,전회가격(B),"47,355","47,332","47,244"
2019.06,가격차이(A-B),-23,-88,-47
2019.06,전회대비(%),0.0,-0.2,-0.1
2019.07,금회가격(A),"47,195","47,044","46,907"
2019.07,전회가격(B),"47,197","47,195","47,044"
2019.07,가격차이(A-B),-2,-151,-138
2019.07,전회대비(%),0.0,-0.3,-0.3
2019.08,금회가격(A),"46,832","46,735","46,598"
2019.08,전회가격(B),"46,907","46,832","46,735"
2019.08,가격차이(A-B),-74,-98,-137
2019.08,전회대비(%),-0.2,-0.2,-0.3
2019.09,금회가격(A),"46,416","46,352","45,932"
2019.09,전회가격(B),"46,598","46,416","46,352"
2019.09,가격차이(A-B),-182,-64,-420
2019.09,전회대비(%),-0.4,-0.1,-0.9
2019.10,금회가격(A),"47,331","46,751","46,592"
2019.10,전회가격(B),"45,932","47,331","46,751"
2019.10,가격차이(A-B),"1,398",-580,-159
2019.10,전회대비(%),3.0,-1.2,-0.3
2019.11,금회가격(A),"46,974","47,172","47,201"
2019.11,전회가격(B),"46,592","46,974","47,172"
2019.11,가격차이(A-B),382,199,29
2019.11,전회대비(%),0.8,0.4,0.1
2019.12,금회가격(A),"47,199","47,252","47,288"
2019.12,전회가격(B),"47,201","47,199","47,252"
2019.12,가격차이(A-B),-2,53,36
2019.12,전회대비(%),0.0,0.1,0.1
2020.01,금회가격(A),"47,269","47,241","47,188"
2020.01,전회가격(B),"47,288","47,269","47,241"
2020.01,가격차이(A-B),-19,-28,-53
2020.01,전회대비(%),0.0,-0.1,-0.1
2020.02,금회가격(A),"47,247","47,184","47,191"
2020.02,전회가격(B),"47,188","47,247","47,184"
2020.02,가격차이(A-B),59,-63,8
2020.02,전회대비(%),0.1,-0.1,0.0
2020.03,금회가격(A),"47,077","47,038","47,069"
2020.03,전회가격(B),"47,191","47,077","47,038"
2020.03,가격차이(A-B),-115,-39,32
2020.03,전회대비(%),-0.2,-0.1,0.1
2020.04,금회가격(A),"46,804","46,748","46,773"
2020.04,전회가격(B),"47,069","46,804","46,748"
2020.04,가격차이(A-B),-265,-56,24
2020.04,전회대비(%),-0.6,-0.1,0.1
2020.05,금회가격(A),"46,779","46,781","46,809"
2020.05,전회가격(B),"46,773","46,779","46,781"
2020.05,가격차이(A-B),6,3,27
2020.05,전회대비(%),0.0,0.0,0.1
2020.06,금회가격(A),"46,981","47,120","47,138"
2020.06,전회가격(B),"46,809","46,981","47,120"
2020.06,가격차이(A-B),172,139,18
2020.06,전회대비(%),0.4,0.3,0.0
2020.07,금회가격(A),"47,082","47,183","47,187"
2020.07,전회가격(B),"47,138","47,082","47,183"
2020.07,가격차이(A-B),-56,101,4
2020.07,전회대비(%),-0.1,0.2,0.0
